Title,Description,Keywords,Interests
"Life, the universe and the hidden meaning of everything","It is hard to look at the universe and not wonder about the meaning, of,
well, everything. A natural question is whether what we see is a sign of
intelligent design. The antithesis of design would be a random universe or,
assuming laws of physics, one whose fundamental physical parameters were
randomly selected, but conditioned on life (ourselves) being here to observe
it. In unpublished work, the British physicist Dennis Sciama argued that such a
randomly selected universe would display a statistical signature. He concluded
that a random universe would almost certainly have parameters only just
allowing for the possibility of life. Here we consider whether this signature
is definitive. We find that with plausible additional assumptions Sciama's
signature would appear to reverse: Were our universe random, it could give the
false impression of being intelligently designed, with the fundamental
constants appearing to be fine-tuned to a strong probability for life to emerge
and be maintained.","universe,random,meaning",Science
Learn You a Haskell for Great Good!: A Beginner's Guide,"Learn You a Haskell for Great Good! is a fun, illustrated guide to learning Haskell, a functional programming language that's growing in popularity. Learn You a Haskell for Great Good! introduces programmers familiar with imperative languages (such as C++, Java, or Python) to the unique aspects of functional programming. Packed with jokes, pop culture references, and the a...more","Haskell,Good,Great",CS Fundamentals
Beyond Low-pass Filtering: Graph Convolutional Networks with Automatic Filtering,"Graph convolutional networks are becoming indispensable for deep learning
from graph-structured data. Most of the existing graph convolutional networks
share two big shortcomings. First, they are essentially low-pass filters, thus
the potentially useful middle and high frequency band of graph signals are
ignored. Second, the bandwidth of existing graph convolutional filters is
fixed. Parameters of a graph convolutional filter only transform the graph
inputs without changing the curvature of a graph convolutional filter function.
In reality, we are uncertain about whether we should retain or cut off the
frequency at a certain point unless we have expert domain knowledge. In this
paper, we propose Automatic Graph Convolutional Networks (AutoGCN) to capture
the full spectrum of graph signals and automatically update the bandwidth of
graph convolutional filters. While it is based on graph spectral theory, our
AutoGCN is also localized in space and has a spatial form. Experimental results
show that AutoGCN achieves significant improvement over baseline methods which
only work as low-pass filters.","Graph,convolutional,networks",Deep Learning
Getting Started with ResearchKit,Enter the era of medical research using mobile devices with the help of this guide on ResearchKit!,"Enter,ResearchKit,era",Technology
CLR via C# (Developer Reference),"Dig deep and master the intricacies of the common language runtime, C#, and .NET development. Led by programming expert Jeffrey Richter, a longtime consultant to the Microsoft .NET team - you’ll gain pragmatic insights for building robust, reliable, and responsive apps and components.Fully updated for .NET Framework 4.5 and Visual Studio 2012 Delivers a thorough grounding...more","NET,Dig,runtime",CS Fundamentals
Essential Scrum: A Practical Guide to the Most Popular Agile Process,"A Practical Guide to the Most Popular Agile Process The Single-Source, Comprehensive Guide to Scrum for All Team Members, Managers, and Executives If you want to use Scrum to develop innovative products and services that delight your customers, Essential Scrum is the complete, single-source reference you've been searching for. Leading Scrum coach ...more","Guide,Managers,Scrum",Others
The Practice of Programming (Addison-Wesley Professional Computing Series),"With the same insight and authority that made their book The Unix programming Environment a classic, Brian Kernighan and Rob Pike have written The Practice of Programming to help make individual programmers more effective and productive.","Brian,programming,Unix",DSA
"Synthesis, structure and properties of layered phosphide nitrides $Ak$Th$_2$Mn$_4$P$_4$N$_2$ ($Ak$ = Rb, Cs)","We report the design, synthesis, structure, and properties of two complex
layered phosphide nitrides, $Ak$Th$_2$Mn$_4$P$_4$N$_2$ ($Ak$ = Rb, Cs), which
contain anti-fluorite-type [Mn$_2$P$_2$] bilayers separated by fluorite-type
[Th2N2] layers as a result of the intergrowth between AkMn$_2$P$_2$ and ThMnPN.
The new compounds are featured with an intrinsic hole doping associated with
the interlayer charge transfer and a built-in chemical pressure from the
[Th$_2$N$_2$] layers, both of which are reflected by the changes in the lattice
and the atomic position of phosphorus. The measurements of magnetic
susceptibility, electrical resistivity, and specific heat indicate existence of
local moments as well as itinerant electrons in relation with d-p
hybridizations. The expected dominant antiferromagnetic interactions with
enhanced d-p hybridizations were demonstrated by the first-principles
calculations only when additional Coulomb repulsions are included. The density
of states at the Fermi level derived from the specific-heat analysis are 3.5
and 7.5 times of the calculated ones for Ak = Rb and Cs, respectively,
suggesting strong electron correlations in the title compounds.","layers,synthesis,structure",Science
Database Design and Diagramming in Dia,"In this course you will be introduced to the process of designing a database. The old saying about a picture being worth a thousand words rings true in the database design process. Database designers document their designs using diagrams. To document your basic design, you will use a diagramming tool called �Dia�. You will review user requirements to identify the categories of data that will need to be included in the database, and then fill out those categories with details. You will also determine how the categories are logically related. Using Dia, you will document your logical database design using a standard database design diagram called an Entity Relationship Diagram. Generating the ERD is an important step in the database design process. Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.","database,design,process",CS Fundamentals
Meeting Investors' Goals,"In this course, you will dive into the concepts of rationality and irrationality and understand how they impact our investment decisions and what the consequences can be at the market level. You will first explore the different biases that we, as humans, are subjected to when facing investment decisions and how they may impact the outcomes of these decisions. Moreover, you will see how emotions and ethical concerns such as honesty and trust influence market participants. When they are considered as a group rather than individually, you will discover how rationality and irrationality can drive asset prices to and away from their fair value. Finally, you will be presented with different portfolio construction methodologies and investment styles that make up the landscape of today's portfolio management industry. At key points throughout the course, you will benefit from the practical knowledge of experts from our corporate partner, UBS, in how to build and manage clients' portfolios.","decisions,investment,impact",Business
Arduino Robotic Projects,Build awesome and complex robots with the power of Arduino.,"Arduino,Build,awesome",Technology
Python Natural Language Processing Cookbook,"Get to grips with solving real-world NLP problems, such as dependency parsing, information extractio...","NLP,problems,parsing",Machine Learning
Compositional Construction of Abstractions for Infinite Networks of Switched Systems,"We construct compositional continuous approximations for an interconnection
of infinitely many discrete-time switched systems. An approximation (known as
abstraction) is itself a continuous-space system, which can be used as a
replacement of the original (known as concrete) system in a controller design
process. Having synthesized a controller for the abstract system, the
controller is refined to a more detailed controller for the concrete system. To
quantify the mismatch between the output trajectory of the approximation and of
that the original system, we use the notion of so-called simulation functions.
In particular, each subsystem in the concrete network and its corresponding one
in the abstract network is related through a local simulation function. We show
that if the local simulation functions satisfy a certain small-gain type
condition developed for a network of infinitely many subsystems, then the
aggregation of the individual simulation functions provides an overall
simulation function between the overall abstraction and the concrete network.
For a network of linear switched systems, we systematically construct local
abstractions and local simulation functions, where the required conditions are
expressed in terms of linear matrix inequalities and can be efficiently
computed. We illustrate the effectiveness of our approach through an
application to frequency control in a power gird with a switched (i.e.
time-varying) topology.","simulation,system,controller",Science
"App Deployment, Debugging, and Performance","In this course, application developers learn how to design and develop cloud-native applications that seamlessly integrate managed services from Google Cloud. Through a combination of presentations, demos, and hands-on labs, participants learn how to apply best practices for application development and use the appropriate Google Cloud storage services for object storage, relational data, caching, and analytics. Learners can choose to complete labs in their favorite language: Node.js, Java, or Python.\t � Completed Google Cloud Platform Fundamentals or have equivalent experience � Working knowledge of Node.js, Java, or Python � Basic proficiency with command-line tools and Linux operating system environments � Previous course(s) in the specialization","Google,Cloud,Java",App Dev
Through the Looking Glass: Neural 3D Reconstruction of Transparent Shapes,"Recovering the 3D shape of transparent objects using a small number of
unconstrained natural images is an ill-posed problem. Complex light paths
induced by refraction and reflection have prevented both traditional and deep
multiview stereo from solving this challenge. We propose a physically-based
network to recover 3D shape of transparent objects using a few images acquired
with a mobile phone camera, under a known but arbitrary environment map. Our
novel contributions include a normal representation that enables the network to
model complex light transport through local computation, a rendering layer that
models refractions and reflections, a cost volume specifically designed for
normal refinement of transparent shapes and a feature mapping based on
predicted normals for 3D point cloud reconstruction. We render a synthetic
dataset to encourage the model to learn refractive light transport across
different views. Our experiments show successful recovery of high-quality 3D
geometry for complex transparent shapes using as few as 5-12 natural images.
Code and data are publicly released.","transparent,images,light",Artificial Intelligence
Securing Investment Returns in the Long Run,"In this course, you will learn about the famous dichotomy between active and passive investing, how to appropriately measure and analyze investment performance and what the future trends in the investment management industry are. You will first learn about absolute and relative performance, risk-adjusted returns and how to decompose investment performance. The focus will then shift to the two main categories of investment vehicles, active and passive funds, and what they entail in terms of expected performance. Finally, you will explore the worlds of sustainable finance, neurofinance and fintech, three areas of research that will shape the future of the investment management industry. You will also benefit from the insights of experts from UBS, our corporate partner, on the practical implementation of the various concepts we will develop in this course.","investment,performance,learn",Business
Ethical Leadership Through Giving Voice to Values,"This course offers an action-oriented introduction to Giving Voice to Values (or GVV), an exciting new approach to values-driven leadership development in the workplace, in business education and in life. GVV is not about persuading people to be more ethical, but instead it starts from the premise that most of us already want to act on our values, but that we also want to feel that we have a reasonable chance of doing so effectively. Through positive, real life examples, pre-scripting, rehearsal and peer coaching, GVV builds the skill, the confidence and likelihood that we will act on our values more often and more successfully. Based on research and practice, with over 1,000 pilots in educational settings and companies on all seven continents, GVV helps answer the questions: �What if I were going to act on my values? What would I say and do? How could I be most effective?� This course was developed at the Darden School of Business at the University of Virginia and is taught by top-ranked faculty. You will come away from GVV with an expanded toolkit, as well as practice, in a variety of methods and techniques for voicing and enacting your own values and principles. You will develop and practice leadership skills in ""peer coaching� with other learners. Through cases and stories based on recognizable workplace, classroom and life values conflicts, you will apply the GVV techniques and �re-frames�, expanding your repertoire for possible action as well as identifying and rehearsing responses that are likely to be most effective. Through this practice, you will gain greater confidence and competence in voicing and enacting your values effectively.","GVV,Giving,Voice",Ethics
C# in Depth,"C# has changed significantly since it was first introduced. With the many upgraded features, C# is more expressive than ever. However, an in depth understanding is required to get the most out of the language.C# in Depth, Second Edition is a thoroughly revised, up-to-date book that covers the new features of C# 4 as well as Code Contracts. In it, you'll see the subtleties...more","introduced,depth,changed",DSA
Joint Delay and Phase Precoding Under True-Time Delay Constraint for THz Massive MIMO,"A new approach is presented to the problem of compensating the beam squint
effect arising in wideband terahertz (THz) hybrid massive multiple-input
multiple-output (MIMO) systems, based on the joint optimization of the phase
shifter (PS) and true-time delay (TTD) values under per-TTD device time delay
constraints. Unlike the prior approaches, the new approach does not require the
unbounded time delay assumption; the range of time delay values that a TTD
device can produce is strictly limited in our approach. Instead of focusing on
the design of TTD values, we jointly optimize both the TTD and PS values to
effectively cope with the practical time delay constraint. Simulation results
that illustrate the performance benefits of the new method for the beam squint
compensation are presented. Through simulations and analysis, we show that our
approach is a generalization of the prior TTD-based precoding approaches.","TTD,delay,approach",Technology
"Superintelligence: Paths, Dangers, Strategies",Superintelligence asks the questions: what happens when machines surpass humans in general intelligence? Will artificial agents save or destroy us? Nick Bostrom lays the foundation for understanding the future of humanity and intelligent life.The human brain has some capabilities that the brains of other animals lack. It is to these distinctive capabilities that our speci...more,"Superintelligence,questions,intelligence",Artificial Intelligence
Deep DA for Ordinal Regression of Pain Intensity Estimation Using Weakly-Labeled Videos,"Automatic estimation of pain intensity from facial expressions in videos has
an immense potential in health care applications. However, domain adaptation
(DA) is needed to alleviate the problem of domain shifts that typically occurs
between video data captured in source and target do-mains. Given the laborious
task of collecting and annotating videos, and the subjective bias due to
ambiguity among adjacent intensity levels, weakly-supervised learning (WSL)is
gaining attention in such applications. Yet, most state-of-the-art WSL models
are typically formulated as regression problems, and do not leverage the
ordinal relation between intensity levels, nor the temporal coherence of
multiple consecutive frames. This paper introduces a new deep learn-ing model
for weakly-supervised DA with ordinal regression(WSDA-OR), where videos in
target domain have coarse la-bels provided on a periodic basis. The WSDA-OR
model enforces ordinal relationships among the intensity levels as-signed to
the target sequences, and associates multiple relevant frames to sequence-level
labels (instead of a single frame). In particular, it learns discriminant and
domain-invariant feature representations by integrating multiple in-stance
learning with deep adversarial DA, where soft Gaussian labels are used to
efficiently represent the weak ordinal sequence-level labels from the target
domain. The proposed approach was validated on the RECOLA video dataset as
fully-labeled source domain, and UNBC-McMaster video data as weakly-labeled
target domain. We have also validated WSDA-OR on BIOVID and Fatigue (private)
datasets for sequence level estimation. Experimental results indicate that our
approach can provide a significant improvement over the state-of-the-art
models, allowing to achieve a greater localization accuracy.","domain,target,intensity",Machine Learning
"Introduction to Automata Theory, Languages, and Computation","It has been more than 20 years since this classic book on formal languages, automata theory, and computational complexity was first published. With this long-awaited revision, the authors continue to present the theory in a concise and straightforward manner, now with an eye out for the practical applications. They have revised this book to make it more accessible to today ...more","years,languages,automata",DSA
3D Game Engine Design: A Practical Approach to Real-Time Computer Graphics (The Morgan Kaufmann Series in Interactive 3D Technology),"A major revision of the international bestseller on game programming!Graphics hardware has evolved enormously in the last decade. Hardware can now be directly controlled through techniques such as shader programming, which requires an entirely new thought process of a programmer. 3D Game Engine Design, Second Edition shows step-by-step how to make a shader-based graphi...more","Graphics,programming,decade",CS Fundamentals
Drupal 8 Development Cookbook - Second Edition,Over 60 hands-on recipes that get you acquainted with Drupal 8'?s features and help you harness its ...,"Drupal,hands-on,recipes",Web Dev
Deep Learning for Flight Demand and Delays Forecasting,"The last few years have seen an increased interest in deep learning (DL) due
to its success in applications such as computer vision, natural language
processing (NLP), and self-driving cars. Inspired by this success, this paper
applied DL to predict flight demand and delays, which have been a concern for
airlines and the other stakeholders in the National Airspace System (NAS).
Demand and delay prediction can be formulated as a supervised learning problem,
where, given an understanding of past historical demand and delays, a deep
learning network can examine sequences of historic data to predict current and
future sequences. With that in mind, we applied a well-known DL method,
sequence to sequence (seq2seq), to solve the problem. Our results show that the
seq2seq method can reduce demand prediction mean squared error (MSE) by 50%,
compared to two classical baseline algorithms.","NLP,demand,learning",Machine Learning
Sams Teach Yourself MySQL in 24 Hours,"Sams Teach Yourself MySQL in 24 Hours teaches the reader everything from basic installation to using MySQL in Web application development. First, the basic concepts of database design are taught, and then the reader jumps right into planning and creating a database. The book then walks the reader through all the basics of using MySQL - working with tables and data, using M ...more","Hours,Teach,Web",Web Dev
A Smarter Way to Learn JavaScript: The new approach that uses technology to cut your effort in half,"Learn JavaScript with half the effort, aided by technology. Master each chapter with free interactive exercises online. Live simulation lets you see your practice code run in your browser. 2,000 lines of color-keyed sample code break it all down into easy-to-learn chunks. Extra help through the rough spots so you're less likely to get stuck. Tested on...more","Learn,effort,aided",Web Dev
Geometric deep learning on graphs and manifolds using mixture model CNNs,"Deep learning has achieved a remarkable performance breakthrough in several
fields, most notably in speech recognition, natural language processing, and
computer vision. In particular, convolutional neural network (CNN)
architectures currently produce state-of-the-art performance on a variety of
image analysis tasks such as object detection and recognition. Most of deep
learning research has so far focused on dealing with 1D, 2D, or 3D
Euclidean-structured data such as acoustic signals, images, or videos.
Recently, there has been an increasing interest in geometric deep learning,
attempting to generalize deep learning methods to non-Euclidean structured data
such as graphs and manifolds, with a variety of applications from the domains
of network analysis, computational social science, or computer graphics. In
this paper, we propose a unified framework allowing to generalize CNN
architectures to non-Euclidean domains (graphs and manifolds) and learn local,
stationary, and compositional task-specific features. We show that various
non-Euclidean CNN methods previously proposed in the literature can be
considered as particular instances of our framework. We test the proposed
method on standard tasks from the realms of image-, graph- and 3D shape
analysis and show that it consistently outperforms previous approaches.","Deep,learning,CNN",Deep Learning
Low-Rank Deep Convolutional Neural Network for Multi-Task Learning,"In this paper, we propose a novel multi-task learning method based on the
deep convolutional network. The proposed deep network has four convolutional
layers, three max-pooling layers, and two parallel fully connected layers. To
adjust the deep network to multi-task learning problem, we propose to learn a
low-rank deep network so that the relation among different tasks can be
explored. We proposed to minimize the number of independent parameter rows of
one fully connected layer to explore the relations among different tasks, which
is measured by the nuclear norm of the parameter of one fully connected layer,
and seek a low-rank parameter matrix. Meanwhile, we also propose to regularize
another fully connected layer by sparsity penalty, so that the useful features
learned by the lower layers can be selected. The learning problem is solved by
an iterative algorithm based on gradient descent and back-propagation
algorithms. The proposed algorithm is evaluated over benchmark data sets of
multiple face attribute prediction, multi-task natural language processing, and
joint economics index predictions. The evaluation results show the advantage of
the low-rank deep CNN model over multi-task problems.","deep,network,connected",Deep Learning
Hands-On Machine Learning with scikit-learn and Scientific Python Toolkits,"Integrate scikit-learn with various tools such as NumPy, pandas, imbalanced-learn, and scikit-surpri...","pandas,imbalanced-learn,Integrate",Machine Learning
Bootstrap Site Blueprints,Without Bootstrap your web designs may not be reaching their full potential. This book will change t...,"Bootstrap,potential,web",Web Dev
Tuneable homogeneous kG magnetic field production using permanent magnets,"We present a permanent magnet arrangement that can achieve a tuneable axial
magnetic field from 1.80(8)-2.67(2) kG along the z-axis, where (x,y) = (0,0),
with a rms field variation of less than 1% over a length of 25 mm. The
instrument consists of an arrangement of off-the-shelf N42 neodymium-iron-boron
(NdFeB) axially magnetized ring magnets, of varying outer and inner diameters.
The magnets are organized into four cylindrical brass holders, whose relative
separation can be manipulated to achieve the desired magnetic field strength
and homogeneity over the region of interest. We present magnetic field
computations and Marquardt-Levenberg fits to experimental data and demonstrate
excellent agreement between theory and experiment. The apparatus has been
designed to accommodate a cylindrical atomic vapor cell of length 25 mm and
diameter 25 mm to lie within the bore of the ring magnets. The design has a
clear aperture of 20 mm in the x-y plane along the z-axis, which opens up new
avenues for imaging exploration in atomic spectroscopy.","field,magnets,magnetic",Science
Essential Google Cloud Infrastructure: Core Services,"This accelerated on-demand course introduces participants to the comprehensive and flexible infrastructure and platform services provided by Google Cloud with a focus on Compute Engine. Through a combination of video lectures, demos, and hands-on labs, participants explore and deploy solution elements, including infrastructure components such as networks, systems and applications services. This course also covers deploying practical solutions including customer-supplied encryption keys, security and access management, quotas and billing, and resource monitoring. Prerequisites: To get the most out of this course, participants should have: � Completed Google Cloud Fundamentals: Core Infrastructure or have equivalent experience � Completed Essential Google Cloud Infrastructure: Foundation or have equivalent experience � Basic proficiency with command-line tools and Linux operating system environments � Systems Operations experience including deploying and managing applications, either on-premises or in a public cloud environment New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits; => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<","Cloud,Google,infrastructure",Technology
DAE-GAN: Dynamic Aspect-aware GAN for Text-to-Image Synthesis,"Text-to-image synthesis refers to generating an image from a given text
description, the key goal of which lies in photo realism and semantic
consistency. Previous methods usually generate an initial image with sentence
embedding and then refine it with fine-grained word embedding. Despite the
significant progress, the 'aspect' information (e.g., red eyes) contained in
the text, referring to several words rather than a word that depicts 'a
particular part or feature of something', is often ignored, which is highly
helpful for synthesizing image details. How to make better utilization of
aspect information in text-to-image synthesis still remains an unresolved
challenge. To address this problem, in this paper, we propose a Dynamic
Aspect-awarE GAN (DAE-GAN) that represents text information comprehensively
from multiple granularities, including sentence-level, word-level, and
aspect-level. Moreover, inspired by human learning behaviors, we develop a
novel Aspect-aware Dynamic Re-drawer (ADR) for image refinement, in which an
Attended Global Refinement (AGR) module and an Aspect-aware Local Refinement
(ALR) module are alternately employed. AGR utilizes word-level embedding to
globally enhance the previously generated image, while ALR dynamically employs
aspect-level embedding to refine image details from a local perspective.
Finally, a corresponding matching loss function is designed to ensure the
text-image semantic consistency at different levels. Extensive experiments on
two well-studied and publicly available datasets (i.e., CUB-200 and COCO)
demonstrate the superiority and rationality of our method.","image,refinement,embedding",Deep Learning
DWR Java AJAX Applications,A step-by-step example-packed guide to learning professional application development with Direct Web...,"Web,Direct,example-packed",App Dev
Near Real-time Hippocampus Segmentation Using Patch-based Canonical Neural Network,"Over the past decades, state-of-the-art medical image segmentation has
heavily rested on signal processing paradigms, most notably registration-based
label propagation and pair-wise patch comparison, which are generally slow
despite a high segmentation accuracy. In recent years, deep learning has
revolutionalized computer vision with many practices outperforming prior art,
in particular the convolutional neural network (CNN) studies on image
classification. Deep CNN has also started being applied to medical image
segmentation lately, but generally involves long training and demanding memory
requirements, achieving limited success. We propose a patch-based deep learning
framework based on a revisit to the classic neural network model with
substantial modernization, including the use of Rectified Linear Unit (ReLU)
activation, dropout layers, 2.5D tri-planar patch multi-pathway settings. In a
test application to hippocampus segmentation using 100 brain MR images from the
ADNI database, our approach significantly outperformed prior art in terms of
both segmentation accuracy and speed: scoring a median Dice score up to 90.98%
on a near real-time performance (<1s).","segmentation,image,CNN",Deep Learning
DSOR: A Scalable Statistical Filter for Removing Falling Snow from LiDAR Point Clouds in Severe Winter Weather,"For autonomous vehicles to viably replace human drivers they must contend
with inclement weather. Falling rain and snow introduce noise in LiDAR returns
resulting in both false positive and false negative object detections. In this
article we introduce the Winter Adverse Driving dataSet (WADS) collected in the
snow belt region of Michigan's Upper Peninsula. WADS is the first multi-modal
dataset featuring dense point-wise labeled sequential LiDAR scans collected in
severe winter weather; weather that would cause an experienced driver to alter
their driving behavior. We have labelled and will make available over 7 GB or
3.6 billion labelled LiDAR points out of over 26 TB of total LiDAR and camera
data collected. We also present the Dynamic Statistical Outlier Removal (DSOR)
filter, a statistical PCL-based filter capable or removing snow with a higher
recall than the state of the art snow de-noising filter while being 28\%
faster. Further, the DSOR filter is shown to have a lower time complexity
compared to the state of the art resulting in an improved scalability.
Our labeled dataset and DSOR filter will be made available at
https://bitbucket.org/autonomymtu/dsor_filter","DSOR,filter,snow",Technology
Make Your Own Neural Network: An In-depth Visual Introduction For Beginners,"A step-by-step visual journey through the mathematics of neural networks, and making your own using Python and Tensorflow.","Tensorflow,Python,visual",Deep Learning
Approximability of Discriminators Implies Diversity in GANs,"While Generative Adversarial Networks (GANs) have empirically produced
impressive results on learning complex real-world distributions, recent works
have shown that they suffer from lack of diversity or mode collapse. The
theoretical work of Arora et al. suggests a dilemma about GANs' statistical
properties: powerful discriminators cause overfitting, whereas weak
discriminators cannot detect mode collapse.
By contrast, we show in this paper that GANs can in principle learn
distributions in Wasserstein distance (or KL-divergence in many cases) with
polynomial sample complexity, if the discriminator class has strong
distinguishing power against the particular generator class (instead of against
all possible generators). For various generator classes such as mixture of
Gaussians, exponential families, and invertible and injective neural networks
generators, we design corresponding discriminators (which are often neural nets
of specific architectures) such that the Integral Probability Metric (IPM)
induced by the discriminators can provably approximate the Wasserstein distance
and/or KL-divergence. This implies that if the training is successful, then the
learned distribution is close to the true distribution in Wasserstein distance
or KL divergence, and thus cannot drop modes. Our preliminary experiments show
that on synthetic datasets the test IPM is well correlated with KL divergence
or the Wasserstein distance, indicating that the lack of diversity in GANs may
be caused by the sub-optimality in optimization instead of statistical
inefficiency.","Wasserstein,Generative,Adversarial",Artificial Intelligence
Learning Embedded Android N Programming,Create the perfectly customized system by unleashing the power of Android OS on your embedded device,"Android,Create,device",App Dev
Pareto Adversarial Robustness: Balancing Spatial Robustness and Sensitivity-based Robustness,"Adversarial robustness, which mainly contains sensitivity-based robustness
and spatial robustness, plays an integral part in the robust generalization. In
this paper, we endeavor to design strategies to achieve universal adversarial
robustness. To hit this target, we firstly investigate the less-studied spatial
robustness and then integrate existing spatial robustness methods by
incorporating both local and global spatial vulnerability into one spatial
attack and adversarial training. Based on this exploration, we further present
a comprehensive relationship between natural accuracy, sensitivity-based and
different spatial robustness, supported by the strong evidence from the
perspective of robust representation. More importantly, in order to balance
these mutual impacts of different robustness into one unified framework, we
incorporate \textit{Pareto criterion} into the adversarial robustness analysis,
yielding a novel strategy called \textit{Pareto Adversarial Training} towards
universal robustness. The resulting Pareto front, the set of optimal solutions,
provides the set of optimal balance among natural accuracy and different
adversarial robustness, shedding light on solutions towards universal
robustness in the future. To the best of our knowledge, we are the first to
consider the universal adversarial robustness via multi-objective optimization.","robustness,Adversarial,spatial",Artificial Intelligence
Bootstrap for ASP.NET MVC - Second Edition,"Combine the power of ASP.NET Core with Bootstrap 4 to build elegant, responsive web apps","Bootstrap,Core,Combine",Web Dev
Sencha Touch 2 Mobile JavaScript Framework,Your knowledge of HTML and CSS is a door to the world of mobile web apps thanks to this handy guide ...,"HTML,CSS,guide",Web Dev
Creative Programming for Digital Media & Mobile Apps,"This course is for anyone who would like to apply their technical skills to creative work ranging from video games to art installations to interactive music, and also for artists who would like to use programming in their artistic practice. This course will teach you how to develop and apply programming skills to creative work. This is an important skill within the development of creative mobile applications, digital music and video games. It will teach the technical skills needed to write software that make use of images, audio and graphics, and will concentrate on the application of these skills to creative projects. Additional resources will be provided for students with no programming background. At the end of this course, you will be able to: * Write creative, audiovisual programs in the Processing environment that run on desktop and mobile * Programatically manipulate sound in creative ways * Display images and image sequences * Generate interactive, algorithmic graphics * Work with a 2D physics engine to create a basic game","creative,work,skills",Technology
The C Programming Language,"This book is meant to help the reader learn how to program in C. It is the definitive reference guide, now in a second edition. Although the first edition was written in 1978, it continues to be a worldwide best-seller. This second edition brings the classic original up to date to include the ANSI standard.From the Preface:We have tried to retain the brevity of the fir...more","edition,book,meant",DSA
Effect of Text Color on Word Embeddings,"In natural scenes and documents, we can find the correlation between a text
and its color. For instance, the word, ""hot"", is often printed in red, while
""cold"" is often in blue. This correlation can be thought of as a feature that
represents the semantic difference between the words. Based on this
observation, we propose the idea of using text color for word embeddings. While
text-only word embeddings (e.g. word2vec) have been extremely successful, they
often represent antonyms as similar since they are often interchangeable in
sentences. In this paper, we try two tasks to verify the usefulness of text
color in understanding the meanings of words, especially in identifying
synonyms and antonyms. First, we quantify the color distribution of words from
the book cover images and analyze the correlation between the color and meaning
of the word. Second, we try to retrain word embeddings with the color
distribution of words as a constraint. By observing the changes in the word
embeddings of synonyms and antonyms before and after re-training, we aim to
understand the kind of words that have positive or negative effects in their
word embeddings when incorporating text color information.","word,color,words",Science
Moodle 1.9 Testing and Assessment,Develop and evaluate quizzes and tests using Moodle modules,"Moodle,Develop,modules",Technology
Restormer: Efficient Transformer for High-Resolution Image Restoration,"Since convolutional neural networks (CNNs) perform well at learning
generalizable image priors from large-scale data, these models have been
extensively applied to image restoration and related tasks. Recently, another
class of neural architectures, Transformers, have shown significant performance
gains on natural language and high-level vision tasks. While the Transformer
model mitigates the shortcomings of CNNs (i.e., limited receptive field and
inadaptability to input content), its computational complexity grows
quadratically with the spatial resolution, therefore making it infeasible to
apply to most image restoration tasks involving high-resolution images. In this
work, we propose an efficient Transformer model by making several key designs
in the building blocks (multi-head attention and feed-forward network) such
that it can capture long-range pixel interactions, while still remaining
applicable to large images. Our model, named Restoration Transformer
(Restormer), achieves state-of-the-art results on several image restoration
tasks, including image deraining, single-image motion deblurring, defocus
deblurring (single-image and dual-pixel data), and image denoising (Gaussian
grayscale/color denoising, and real image denoising). The source code and
pre-trained models are available at https://github.com/swz30/Restormer.","image,restoration,Transformer",Deep Learning
General Pathophysiology,"Dear listeners! Warning: this course contains shocking materials and is not recommended for viewing to persons with weak psyche, minors and pregnant women. The course describes subject and methods of Pathophysiology, its place within system of biomedical sciences and history. It includes General Nosology (concept of health and disease, general etiology and pathogenesis, pathological processes and states, role of causal factors, conditions, reactivity and somatotype in pathology). It gives systematic of locally and centrally driven typical pathological processes: arterial, venous and combined hyperemiae, stasis, inflammation, immunopathological processes (including allergy and autoimmune disorders) acute phase response, fever, stress, shock, etc. Course deals with functional, metabolic and informational aspects of typical pathologic processes, like disorders of signaling, reception, post � receptor translation, programming and program archiving, conflicts of programs in living systems. It contains the consequent analysis of the injury and defensive responses as regards separate cells, organs and tissues and the whole organism. The lectures based on author�s original three-volumed textbook and workshop in Pathophysiology republished in Russia many times.","processes,Dear,listeners",Ethics
Part-based R-CNNs for Fine-grained Category Detection,"Semantic part localization can facilitate fine-grained categorization by
explicitly isolating subtle appearance differences associated with specific
object parts. Methods for pose-normalized representations have been proposed,
but generally presume bounding box annotations at test time due to the
difficulty of object detection. We propose a model for fine-grained
categorization that overcomes these limitations by leveraging deep
convolutional features computed on bottom-up region proposals. Our method
learns whole-object and part detectors, enforces learned geometric constraints
between them, and predicts a fine-grained category from a pose-normalized
representation. Experiments on the Caltech-UCSD bird dataset confirm that our
method outperforms state-of-the-art fine-grained categorization methods in an
end-to-end evaluation without requiring a bounding box at test time.","fine-grained,categorization,Semantic",Artificial Intelligence
